"48","2017-01-21","CORONA DEL MAR High School","2101 Eastbluff, Newport Beach, CA 92660","33.6338069","-117.8777708"
"49","2017-01-21","CRENSHAW High School","5010 Eleventh Avenue, Los Angeles, CA 90043","33.997372","-118.3285655"
"50","2017-01-21","CUESTA COMM COLL","Highway 1, San Luis Obispo, CA 93405","35.2860622","-120.6626052"
"51","2017-01-21","DA VINCI SCIENCE High School","13500 Aviation Blvd, Hawthorne, CA 90250","33.9089042","-118.3776505"
"52","2017-01-21","DAMIEN High School","2280 Damien Avenue, La Verne, CA 91750","34.104293","-117.787454"
"53","2017-01-21","DEER VLY High School","4700 Lone Tree Way, Antioch, CA 94531","37.9626027","-121.7763372"
"54","2017-01-21","DIAMOND RANCH High School","100 Diamond Ranch Drive, Pomona, CA 91766","34.022305","-117.778422"
"55","2017-01-21","EAST BAKERSFIELD High School","2200 Quincy St, Bakersfield, CA 93306","35.3805344","-118.9653287"
"56","2017-01-21","EISENHOWER High School","1321 N. Lilac Avenue, Rialto, CA 92376","34.1245342","-117.3791697"
"57","2017-01-21","EL CAMINO High School","400 Rancho Del Oro Dr, Oceanside, CA 92057","33.2179065","-117.3164936"
"58","2017-01-21","EL CAMINO High School","1320 Mission Road, S San Francisco, CA 94080","37.6660819","-122.4420584"
"59","2017-01-21","EL CAMINO REAL High School","5440 Valley Circle Blvd, Woodland Hills, CA 91367","34.1703753","-118.6432933"
"60","2017-01-21","EL CERRITO High School","540 Ashbury Ave., El Cerrito, CA 94530","37.9081745","-122.2954336"
"61","2017-01-21","ELEANOR ROOSEVELT High School","7447 Scholar Way, Eastvale, CA 92880","33.9530639","-117.5685942"
"62","2017-01-21","ENCINAL High School","210 Central Ave, Alameda, CA 94501","37.7716468","-122.2898264"
"63","2017-01-21","EUREKA SR High School","1915 J Street, Eureka, CA 95501","40.7903788","-124.1588931"
"64","2017-01-21","EXCELSIOR CHARTER SCHOOL","18422 Bear Valley Rd, Victorville, CA 92395","34.4724743","-117.2630848"
"65","2017-01-21","FAIRMONT PREP ACAD","2200 W. Sequoia Ave., Anaheim, CA 92801","33.8439377","-117.9596118"
"66","2017-01-21","FIREBAUGH High School","1976 Morris Kyle Drive, Firebaugh, CA 93622","36.8474628","-120.4466031"
"67","2017-01-21","FLORIN High School","7956 Cottonwood Lane, Sacramento, CA 95828","38.4695576","-121.3921362"
"68","2017-01-21","FONTANA High School","9453 Citrus Avenue, Fontana, CA 92335","34.0812672","-117.4533108"
"69","2017-01-21","FOOTHILL High School","19251 Dodge Avenue, Santa Ana, CA 92705","33.7666368","-117.7975564"
"70","2017-01-21","FRAZIER MOUNTAIN High School","700 Falcon Way, Lebec, CA 93243","34.7994508","-118.8911331"
"71","2017-01-21","FREEDOM High School","1050 Neroly Road, Oakley, CA 94561","37.9706549","-121.7180256"
"72","2017-01-21","FREMONT High School","1279 Sunnyvale-saratoga Rd, Sunnyvale, CA 94087","37.353891","-122.0346795"
"73","2017-01-21","GANESHA High School","1151 Fairplex Dr, Pomona, CA 91768","34.0674631","-117.7882769"
"74","2017-01-21","GARDENA High School","17951 Budlong Street, Gardena, CA 90248","33.8673832","-118.2944817"
"75","2017-01-21","GAREY High School","321 W Lexington Avenue, Pomona, CA 91766","34.0372672","-117.7516109"
"76","2017-01-21","GARFIELD High School","5101 East Sixth Street, Los Angeles, CA 90022","34.0262274","-118.1581678"
"77","2017-01-21","GEORGE WASHINGTON PREP High School","10860 S Denker Ave, Los Angeles, CA 90047","33.9372016","-118.3043694"
"78","2017-01-21","GILROY High School","750 W Tenth Street, Gilroy, CA 95020","36.996352","-121.575271"
"79","2017-01-21","HAMILTON High School","2955 S Robertson Blvd, Los Angeles, CA 90034","34.034135","-118.391615"
"80","2017-01-21","HANFORD High School","120 E Grangeville Blvd, Hanford, CA 93230","36.3426862","-119.6456724"
"81","2017-01-21","HARVARD-WESTLAKE SCH","3700 Coldwater CAnyon, Studio City, CA 91604","34.1395446","-118.4128346"
"82","2017-01-21","HAYWARD High School","1633 East Ave, Hayward, CA 94541","37.67183","-122.069135"
"83","2017-01-21","HENRY M. GUNN HIGH SCHOOL","780 Arastradero Road, Palo Alto, CA 94306","37.4008143","-122.1327182"
"84","2017-01-21","HERITAGE High School","101 AmeriCAn Ave, Brentwood, CA 94513","37.9218509","-121.755682"
"85","2017-01-21","HIGH TECH HIGH CHULA VISTA","1945 Discovery Falls Dr, Chula Vista, CA 91915","32.6157821","-116.9546505"
"86","2017-01-21","HILLTOP High School","555 Claire Avenue, Chula Vista, CA 91910","32.6370094","-117.0594128"
"87","2017-01-21","HIRAM JOHNSON High School","6879 14th Avenue, Sacramento, CA 95820","38.5414313","-121.4254091"
"88","2017-01-21","HUNTINGTON PARK ACADEMY High School","2071 Saturn Avenue, Huntington Park, CA 90255","33.9774606","-118.2341498"
"89","2017-01-21","HUNTINGTON PARK High School","6020 Miles Avenue, Huntington Park, CA 90255","33.9866209","-118.2189105"
"90","2017-01-21","IMPERIAL VLY COLL","380 East Aten Road, Imperial, CA 92251","32.8290384","-115.5054288"
"91","2017-01-21","IRVINE VLY COLL","5500 Irvine Ctr Drive, Irvine, CA 92618","33.6761089","-117.7749901"
"92","2017-01-21","JAMES LOGAN High School","1800 H Street, Union City, CA 94587","37.5911664","-122.025097"
"93","2017-01-21","JESUIT High School","4660 Fair Oaks Blvd, Sacramento, CA 95864","38.585938","-121.354562"
"94","2017-01-21","JOHN F KENNEDY High School","6715 Gloria Drive, Sacramento, CA 95831","38.503188","-121.5345057"
"95","2017-01-21","JOHN MARSHALL High School","3939 Tracy St, Los Angeles, CA 90027","34.1079309","-118.2774744"
"96","2017-01-21","JORDAN High School","2265 East 103rd St, Los Angeles, CA 90002","33.944503","-118.23114"
"97","2017-01-21","JUNIPERO SERRA High School","451 W 20th Avenue, San Mateo, CA 94403","37.5457914","-122.3174077"
"98","2017-01-21","LA CANADA High School","4463 Oak Grove Drive, La CAnada, CA 91011","34.1930725","-118.1788844"
"99","2017-01-21","LA QUINTA High School","79-255 Blackhawk Way, La Quinta, CA 92253","33.7146038","-116.2817762"
"100","2017-01-21","LAKE TAHOE COMM COLL","1 College Drive, South Lake Tahoe, CA 96150","38.9267375","-119.9726187"
"101","2017-01-21","LANCASTER High School","44701 32nd St West, LanCAster, CA 93536","34.6937205","-118.188476"
"102","2017-01-21","LAS PLUMAS High School","2380 Las Plumas Avenue, Oroville, CA 95966","39.4798932","-121.5374877"
"103","2017-01-21","LEIGH High School","5210 Leigh Avenue, San Jose, CA 95124","37.2420995","-121.9207528"
"104","2017-01-21","LINCOLN High School","555 Dana Avenue, San Jose, CA 95126","37.32789","-121.9242084"
"105","2017-01-21","LINCOLN High School","4777 Imperial Ave, San Diego, CA 92113","32.7039905","-117.0920255"
"106","2017-01-21","LITTLEROCK High School","10833 East Avenue R, Littlerock, CA 93543","34.5731214","-117.9370523"
"107","2017-01-21","LONE PINE High School","538 S Main, Lone Pine, CA 93545","36.6022393","-118.0609065"
"108","2017-01-21","LOS ALAMITOS High School","3591 Cerritos Avenue, Los Alamitos, CA 90720","33.8120094","-118.0699614"
"109","2017-01-21","LOS ANGELES High School","4650 W Olympic Blvd, Los Angeles, CA 90019","34.055405","-118.3329852"
"110","2017-01-21","LUTHER BURBANK SR High School","3500 Florin Road, Sacramento, CA 95823","38.4946836","-121.4664355"
"111","2017-01-21","MANUAL ARTS SR High School","4131 S Vermont Ave, Los Angeles, CA 90037","34.00877","-118.292848"
"112","2017-01-21","MARANATHA High School","169 S St John Avenue, Pasadena, CA 91105","34.1427333","-118.1569675"
"113","2017-01-21","MAYFAIR HIGH SCHOOL","6000 Woodruff Ave., Lakewood, CA 90713","33.8633136","-118.1164365"
"114","2017-01-21","MCCLATCHY High School","3066 Freeport Blvd, Sacramento, CA 95818","38.5485617","-121.4907436"
"115","2017-01-21","MCFARLAND High School","259 Sherwood Avenue, Mcfarland, CA 93250","35.6741032","-119.2307379"
"116","2017-01-21","MERCED High School","205 W Olive Ave, Merced, CA 95340","37.3184732","-120.4674795"
"117","2017-01-21","MERRILL F WEST High School","1775 West Lowell Avenue, Tracy, CA 95376","37.7480506","-121.447985"
"118","2017-01-21","MIRA LOMA High School","4000 Edison Ave, Sacramento, CA 95825","38.633184","-121.371126"
"119","2017-01-21","MISSION High School","3750 18th Street, San Francisco, CA 94114","37.7617166","-122.4273151"
"120","2017-01-21","MODESTO High School","18 H Street, Modesto, CA 95351","37.6310721","-121.0072994"
"121","2017-01-21","MONROVIA High School","845 W Colorado Blvd, Monrovia, CA 91016","34.1461408","-118.0169951"
"122","2017-01-21","MONTE VISTA High School","3230 Sweetwater Springs Blvd, Spring Valley, CA 91977","32.7370339","-116.9736359"
"123","2017-01-21","MORNINGSIDE High School","10500 S Yukon Ave, Inglewood, CA 90301","33.9407502","-118.3340956"
"124","2017-01-21","MT PLEASANT High School","1750 South White Road, San Jose, CA 95127","37.3461624","-121.8082669"
"125","2017-01-21","NAPA High School","2475 Jefferson St, Napa, CA 94558","38.3109106","-122.2978079"
"126","2017-01-21","NEVADA UNION HIGH SCHOOL (E WING)","11761 Ridge Rd, Grass Valley, CA 95945","39.2390008","-121.0584437"
"127","2017-01-21","NEW COVENANT ACADEMY","3119 W 6th St, Los Angeles, CA 90020","34.0639694","-118.2894784"
"128","2017-01-21","NEWBURY PARK High School","456 N Reino Rd, Newbury Park, CA 91320","34.1844858","-118.9517882"
"129","2017-01-21","NEWPORT HARBOR High School","600 Irvine Avenue, Newport Beach, CA 92663","33.6227981","-117.9132472"
"130","2017-01-21","NORCO High School","2065 TemesCAl Avenue, Norco, CA 92860","33.9118324","-117.5466912"
"131","2017-01-21","NORDHOFF High School","1401 Maricopa Hwy, Ojai, CA 93023","34.4415576","-119.2676637"
"132","2017-01-21","NORTH High School","300 Galaxy Avenue, Bakersfield, CA 93308","35.4295212","-119.026971"
"133","2017-01-21","NORTH MONTEREY COUNTY High School","13990 CAstroville Blvd, CAstroville, CA 95012","36.7963971","-121.7247277"
"134","2017-01-21","NORWALK High School","11356 Leffingwell Road, Norwalk, CA 90650","33.906939","-118.090711"
"135","2017-01-21","OAKLAND High School","1023 MaCArthur Blvd, Oakland, CA 94610","37.8044662","-122.2369001"
"136","2017-01-21","OCEANSIDE High School","One Pirates Cove, Oceanside, CA 92054","33.197067","-117.374143"
"137","2017-01-21","ONTARIO CHRISTIAN HIGH SCHOOL","931 W Philadelphia St, Ontario, CA 91762","34.032776","-117.666281"
"138","2017-01-21","ORANGE GLEN High School","2200 Glenridge Rd, Escondido, CA 92027","33.1288937","-117.0406022"
"139","2017-01-21","ORCUTT ACADEMY HIGH SCHOOL","610 Pinal Ave, Santa Maria, CA 93455","34.862198","-120.440088"
"140","2017-01-21","OXNARD High School","3400 West Gonzales Rd, Oxnard, CA 93036","34.2169481","-119.2142497"
"141","2017-01-21","PACIFIC High School","1020 Pacific Street, San Bernardino, CA 92404","34.1291099","-117.2636285"
"142","2017-01-21","PALM SPRINGS High School","2401 E Baristo Road, Palm Springs, CA 92262","33.8180767","-116.5212095"
"143","2017-01-21","PALOMAR COLL","CArol Moore/counseling Dept, San Marcos, CA 92069","~"
"144","2017-01-21","PALOS VERDES High School","600 Cloyden Road, Palos Verdes Estates, CA 90274","33.7788174","-118.4194422"
"145","2017-01-21","PASO ROBLES High School","801 Niblick Road, Paso Robles, CA 93447","35.6168033","-120.6706999"
"146","2017-01-21","PHINEAS BANNING High School","1527 Lakme Avenue, Wilmington, CA 90744","33.7941735","-118.261071"
"147","2017-01-21","PINER High School","1700 Fulton Road, Santa Rosa, CA 95403","38.4610727","-122.7692108"
"148","2017-01-21","PIONEER High School","10800 East Benavon St, Whittier, CA 90606","33.9700262","-118.0786665"
"149","2017-01-21","PLACER High School","275 Orange Street, Auburn, CA 95603","38.8952078","-121.0720333"
"150","2017-01-21","PLEASANT VLY High School","1475 East Avenue, Chico, CA 95926","39.7592993","-121.8175135"
"151","2017-01-21","PROSPECT High School","18900 Prospect Road, Saratoga, CA 95070","37.2917488","-122.0013392"
"152","2017-01-21","QUARTZ HILL High School","6040 West Avenue L, Quartz Hill, CA 93536","34.6590777","-118.2383586"
"153","2017-01-21","RAMONA High School","7675 Magnolia Avenue, Riverside, CA 92504","33.940826","-117.412887"
"154","2017-01-21","RANCHO BERNARDO High School","13010 Paseo Lucido, San Diego, CA 92128","32.9958845","-117.0668321"
"155","2017-01-21","RANCHO VERDE High School","17750 Lasselle Street, Moreno Valley, CA 92551","33.8613638","-117.2083723"
"156","2017-01-21","REDONDO UNION High School","One Sea Hawk Way, Redondo Beach, CA 90277","33.8447528","-118.3864988"
"157","2017-01-21","RESEDA High School","18230 Kittredge St, Reseda, CA 91335","34.1884315","-118.5288733"
"158","2017-01-21","ROCKLIN High School","5301 Victory Lane, Rocklin, CA 95765","38.8129743","-121.2525126"
"159","2017-01-21","RODRIGUEZ High School","5000 Red Top Road, Fairfield, CA 94534","38.199404","-122.144258"
"160","2017-01-21","ROUND VLY High School","76270 High School Street, Covelo, CA 95428","39.792239","-123.256733"
"161","2017-01-21","SACRED HEART-CATHEDRAL PREP","1055 Ellis Street, San Francisco, CA 94109","37.7832611","-122.4233234"
"162","2017-01-21","SADDLEBACK High School","2802 South Flower St, Santa Ana, CA 92707","33.7087339","-117.878327"
"163","2017-01-21","SALINAS High School","726 S Main St, Salinas, CA 93901","36.6669833","-121.6566991"
"164","2017-01-21","SAN CLEMENTE High School","700 Avenida Pico, San Clemente, CA 92672","33.439947","-117.617269"
"165","2017-01-21","SAN DIEGO High School","1405 Park Blvd, San Diego, CA 92101","32.7200025","-117.1531757"
"166","2017-01-21","SAN FRANCISCO STATE U","1600 Holloway Ave, San Francisco, CA 94132","37.7227685","-122.4767174"
"167","2017-01-21","SAN JOAQUIN DELTA COLL","5151 Pacific Avenue, Stockton, CA 95207","37.9959561","-121.3146171"
"168","2017-01-21","SAN JOSE ST U","Clark Hall-south Entrance, San Jose, CA 95192","~"
"169","2017-01-21","SAN JUAN HILLS High School","29211 Vista Montana, San Juan CApistrano, CA 92675","33.5015718","-117.6225439"
"170","2017-01-21","SAN MATEO High School","506 N Delaware St, San Mateo, CA 94401","37.5772194","-122.3302013"
"171","2017-01-21","SAN YSIDRO High School","5353 Airway Road, San Diego, CA 92154","32.5643977","-117.0155864"
"172","2017-01-21","SANTA ANA High School","520 West Walnut, Santa Ana, CA 92701","33.7439969","-117.8747243"
"173","2017-01-21","SANTA BARBARA High School","700 E Anapamu, Santa Barbara, CA 93103","34.429467","-119.697547"
"174","2017-01-21","SANTA CRUZ High School","415 Walnut Avenue, Santa Cruz, CA 95060","36.9715286","-122.0335605"
"175","2017-01-21","SANTA ROSA High School","1235 Mendocino Avenue, Santa Rosa, CA 95401","38.452089","-122.718439"
"176","2017-01-21","SANTA ROSA JR COLL","1501 Mendocino Avenue, Santa Rosa, CA 95401","38.4549581","-122.7183875"
"177","2017-01-21","SANTA TERESA HIGH SCHOOL","6150 Snell Ave, San Jose, CA 95123","37.2351374","-121.8288843"
"178","2017-01-21","SANTA YNEZ VALLEY UNION High School","2975 E. Hwy 246, Santa Ynez, CA 93460","34.608644","-120.10153"
"179","2017-01-21","SEASIDE High School","2200 Noche Buena Ave, Seaside, CA 93955","36.6247147","-121.837884"
"180","2017-01-21","SILVER CREEK HIGH SCHOOL","3434 Silver Creek Road, San Jose, CA 95121","37.303442","-121.806879"
"181","2017-01-21","SJ HUMANITAS High School","1001 Arroyo St, San Fernando, CA 91340","34.2885723","-118.4210078"
"182","2017-01-21","SKYLINE High School","12250 Skyline Blvd, Oakland, CA 94619","37.798392","-122.161464"
"183","2017-01-21","SOCIAL JUSTICE SCH, MAYA ANGELOU High School","300 E 53rd St, Los Angeles, CA 90011","33.9940265","-118.2679802"
"184","2017-01-21","SOQUEL High School","401 Old San Jose Road, Soquel, CA 95073","36.9916719","-121.9596925"
"185","2017-01-21","SOUTH HILLS High School","645 S BarranCA, West Covina, CA 91791","34.0625927","-117.8827292"
"186","2017-01-21","SOUTHWEST High School","1685 Hollister Street, San Diego, CA 92154","32.5677672","-117.0832829"
"187","2017-01-21","SQUAW VALLEY ACADEMY","235 Squaw Valley Road, Olympic Valley, CA 96146","39.2058274","-120.2049163"
"188","2017-01-21","ST JOSEPH High School","4120 S Bradley Road, Santa Maria, CA 93455","34.8824419","-120.4175908"
"189","2017-01-21","SUMMIT High School","15551 Summit Ave, Fontana, CA 92336","34.1482587","-117.464411"
"190","2017-01-21","SYLMAR High School","13050 Borden Avenue, Sylmar, CA 91342","34.3077277","-118.4410553"
"191","2017-01-21","TEMECULA VLY High School","31555 Rancho Vista Road, Temecula, CA 92592","33.5018163","-117.1170531"
"192","2017-01-21","TERRA LINDA High School","320 Nova Albion Way, San Rafael, CA 94903","37.9999422","-122.5540277"
"193","2017-01-21","TESORO High School","1 Tesoro Creek Rd, Rancho Santa Margarita, CA 92688","33.5809512","-117.6123197"
"194","2017-01-21","THE GROVE SCHOOL","200 Nevada Street, Redlands, CA 92373","34.053468","-117.216496"
"195","2017-01-21","THE THACHER SCH","5025 Thacher Rd, Ojai, CA 93023","34.4638697","-119.1824194"
"196","2017-01-21","TORREY PINES High School","3710 Del Mar Heights Rd, San Diego, CA 92130","32.9578306","-117.2267587"
"197","2017-01-21","TRABUCO HILLS High School","27501 Mustang Run, Mission Viejo, CA 92691","33.6544597","-117.6513461"
"198","2017-01-21","TRINITY CLASSICAL ACAD","28310 Kelly Johnson Parkway, Valencia, CA 91355","34.4505034","-118.5789232"
"199","2017-01-21","TURLOCK High School","Tusd District Office (front Steps), Turlock, CA 95380","~"
"200","2017-01-21","UNIVERSITY High School","11800 Texas Avenue, Los Angeles, CA 90025","34.0461698","-118.4601474"
"201","2017-01-21","UNIVERSITY OF CALIFORNIA","5200 North Lake Rd, Merced, CA 95343","37.3637343","-120.4311096"
"202","2017-01-21","UNIVERSITY PREPARATORY","13853 SeneCA Road, Victorville, CA 92392","34.5133768","-117.3608732"
"203","2017-01-21","USC","Trousdale Pkwy + 34th St, Los Angeles, CA 90089","34.0201145","-118.283583"
